x0000,y0000,x0001,y0001,x0002,y0002,x0003,y0003
0,0,0.17,0.085,0.17,0,0.1,0,
0.008947315789,0.008711861496,1,0.085,0.17,1,0.1,1,
0.01789463158,0.0169528144, , , , , , ,
0.02684194737,0.02472285873, , , , , , ,
0.03578926316,0.03202199446, , , , , , ,
0.04473657895,0.03885022161, , , , , , ,
0.05368389474,0.04520754017, , , , , , ,
0.06263121053,0.05109395014, , , , , , ,
0.07157852632,0.05650945152, , , , , , ,
0.08052584211,0.06145404432, , , , , , ,
0.08947315789,0.06592772853, , , , , , ,
0.09842047368,0.06993050415, , , , , , ,
0.1073677895,0.07346237119, , , , , , ,
0.1163151053,0.07652332964, , , , , , ,
0.1252624211,0.0791133795, , , , , , ,
0.1342097368,0.08123252077, , , , , , ,
0.1431570526,0.08288075346, , , , , , ,
0.1521043684,0.08405807756, , , , , , ,
0.1610516842,0.08476449307, , , , , , ,
0.169999,0.085, , , , , , ,
